Commune;Nombre de ventes;Prix moyen au m2;Fourchette de prix au m2;Nombre de ventes VEFA;Prix moyen VEFA au m2;Fourchette de prix VEFA au m2
Beaufort;1;*;*;15;5.110 €;3978 € - 6831 €
Bech;0;*;*;0;*;*
Beckerich;11;5.797 €;4038 € - 7079 €;1;*;*
Berdorf;12;5.610 €;3125 € - 8048 €;8;*;*
Bertrange;59;10.249 €;6372 € - 13850 €;17;12.508 €;6567 € - 15490 €
Bettembourg;46;7.065 €;5139 € - 8409 €;5;*;*
Bettendorf;10;5.760 €;4271 € - 7270 €;11;5.929 €;4386 € - 6364 €
Betzdorf;6;*;*;0;*;*
Bissen;30;6.467 €;3685 € - 8800 €;14;7.438 €;6699 € - 9645 €
Biwer;0;*;*;0;*;*
Boulaide;1;*;*;1;*;*
Bourscheid;3;*;*;11;5.189 €;4329 € - 6169 €
Bous;8;*;*;0;*;*
Clervaux;25;4.688 €;3028 € - 5680 €;46;4.903 €;4046 € - 5669 €
Colmar-Berg;17;6.246 €;3975 € - 7895 €;9;*;*
Consdorf;3;*;*;0;*;*
Contern;15;8.232 €;5449 € - 10530 €;6;*;*
Dalheim;3;*;*;5;*;*
Diekirch;42;6.165 €;3888 € - 7971 €;24;7.048 €;5856 € - 8723 €
Differdange;305;6.614 €;4017 € - 8839 €;64;7.223 €;5813 € - 8802 €
Dippach;15;7.373 €;5928 € - 9030 €;1;*;*
Dudelange;158;6.820 €;4424 € - 9034 €;57;7.579 €;5883 € - 9171 €
Echternach;30;5.324 €;3631 € - 6470 €;4;*;*
Ell;11;5.851 €;4669 € - 7512 €;0;*;*
Erpeldange-sur-Sûre;9;*;*;0;*;*
Esch-sur-Alzette;311;6.478 €;4159 € - 8849 €;13;7.101 €;5345 € - 8058 €
Esch-sur-Sûre;13;5.265 €;2819 € - 6935 €;0;*;*
Ettelbruck;55;6.121 €;3931 € - 9259 €;27;7.873 €;6409 € - 8903 €
Feulen;3;*;*;0;*;*
Fischbach;3;*;*;0;*;*
Flaxweiler;1;*;*;0;*;*
Frisange;26;6.836 €;5192 € - 8346 €;12;7.004 €;5152 € - 8676 €
Garnich;3;*;*;0;*;*
Goesdorf;7;*;*;0;*;*
Grevenmacher;23;6.249 €;4351 € - 8067 €;1;*;*
Grosbous;6;*;*;0;*;*
Habscht;29;6.612 €;4352 € - 9184 €;8;*;*
Heffingen;6;*;*;1;*;*
Helperknapp;18;6.780 €;4632 € - 8907 €;13;6.458 €;5459 € - 6985 €
Hesperange;112;8.880 €;6101 € - 11224 €;64;9.988 €;7660 € - 12000 €
Junglinster;21;7.608 €;4753 € - 9633 €;29;7.897 €;5903 € - 9636 €
Käerjeng;53;6.484 €;4563 € - 8757 €;7;*;*
Kayl;103;7.177 €;4823 € - 8772 €;30;7.080 €;5475 € - 9210 €
